Model,AUC,F1-Score,Precision,Recall,Train Time (s),Predict Time (s)
Logistic Regression,0.859076331792953,0.4888888888888889,0.4751173708920188,0.5034825870646766,6.055492401123047,0.06231212615966797
Naive Bayes,0.7183805818047062,0.2381570408825438,0.3423507462686567,0.18258706467661692,0.694913387298584,0.3056621551513672
XGBoost (GPU),0.7787013203852887,0.37572254335260113,0.31343531759228466,0.4689054726368159,4.309957027435303,0.2849452495574951
LightGBM (GPU),0.7808462965882097,0.36715520481022174,0.294987922705314,0.4860696517412935,4.472020387649536,0.10307908058166504
Stacking,0.8355171474478634,0.43202668890742285,0.32496863237139273,0.6442786069651741,0.0,0.0
